participant_id,technique,granularity,open_windows,trial_no,stimuli,user_response,trial_time,accuracy
P2,autocompaste,sentence,2,1,Device used to transform mechanical energy into AC electrical power.,Device used to transform mechanical energy into AC electrical power.,15568,1
P2,autocompaste,sentence,2,2,The rotating or moving component of a magnetic circuit.,The rotating or moving component of a magnetic circuit.,3991,1
P2,autocompaste,sentence,2,3,Magnitude or size of a signal voltage or current.,Magnitude or size of a signal voltage or current.,3075,1
P2,autocompaste,sentence,4,4,A component that changes the amplitude of a signal between input and output.,A component that changes the amplitude of a signal between input and output.,3247,1
P2,autocompaste,sentence,4,5,Spring clip on the end of a test lead used to make a temporary connection.,Spring clip on the end of a test lead used to make a temporary connection.,3062,1
P2,autocompaste,sentence,4,6,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,Condition that occurs when a bridge circuit is adjusted to produce a zero output.,2644,1
P2,autocompaste,sentence,6,7,A device that converts a radiated electromagnetic wave into an electrical wave.,A device that converts a radiated electromagnetic wave into an electrical wave.,3486,1
P2,autocompaste,sentence,6,8,A number system having only two symbols 0 and 1.,A number system having only two symbols 0 and 1.,3595,1
P2,autocompaste,sentence,6,9,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side.,3133,1
P2,autocompaste,paragraph,2,10,What is AC/DC ? Equipment that will operate on either an AC or DC power source.,what is ac/DC ? Equipment that will operate on either an AC or DC power source.,7027,1
P2,autocompaste,paragraph,2,11,What is active component ? A component that changes the amplitude of a signal between input and output.,What is active component ? A component that changes the amplitude of a signal between input and output.,10450,1
P2,autocompaste,paragraph,2,12,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,What is armstrong oscillator ? An oscillator that uses an isolation transformer to achieve positive feedback from output to input.,5777,1
P2,autocompaste,paragraph,4,13,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,What is alternating current ? An electric current that rises to a maximum in one direction falls back to zero and then rises to a maximum in the opposite direction and then repeats.,7952,1
P2,autocompaste,paragraph,4,14,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,What is apparent power ? Power attained in an AC circuit as a product of effective voltage and current which reach their peak at different times.,8073,1
P2,autocompaste,paragraph,4,15,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,What is average value ? A value of voltage or current where the area of the wave above the value equals the area of the wave below the value.,7963,1
P2,autocompaste,paragraph,6,16,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,What is alligator clip ? Spring clip on the end of a test lead used to make a temporary connection.,6911,1
P2,autocompaste,paragraph,6,17,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,What is bipolar junction transistor ? (BJT) A three terminal device in which emitter to collector current is controlled by base current.,10981,1
P2,autocompaste,paragraph,6,18,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine sidetechniques in computer graphicsoperating systemsprogramming languagesand development environments are relevant.,Because human%u2013computer interaction studies a human and a machine in conjunction it draws from supporting knowledge on both the machine and the human side. On the machine sidetechniques in computer graphicsoperating systemsprogramming languagesand development environments are relevant.,9161,1
P2,autocompaste,phrase,2,19,transform mechanical energy,transform mechanical energy,16620,1
P2,autocompaste,phrase,2,20,all possible combinations,,1942,0
P2,autocompaste,phrase,2,21,size of a signal voltage,size of a signal voltage,17817,1
P2,autocompaste,phrase,4,22,amplifier in addition,amplifier in addition,12678,1
P2,autocompaste,phrase,4,23,meter used to measure,meter used to measure,9122,1
